Sample	Kingdom	Phylum	Class_taxa	Order_taxa	Family	Genus	Relative_abundance
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	0.010200078
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Epulopiscium	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	0.015496273
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	1.96155e-4
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	0.00294233
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	NA	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacter	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	0.001373087
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	rc4-4	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Other	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	NA	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Other	1.96155e-4
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.260690467
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	0.006865437
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	0.04138878
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	NA	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Acidaminococcus	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Anaerovibrio	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister	0.013730875
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megamonas	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera	3.92311e-4
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Mitsuokella	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Phascolarctobacterium	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Succiniclasticum	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	NA	0.004119262
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	Mogibacterium	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Tissierellaceae	Anaerococcus	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Tissierellaceae	Finegoldia	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Tissierellaceae	Parvimonas	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Tissierellaceae	Tissierella_Soehngenia	0
204_v3	Bacteria	Firmicutes	Clostridia	Clostridiales	Tissierellaceae	ph2	1.96155e-4
204_v3	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	NA	0.00058846600000000005
204_v3	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	0
204_v3	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	0
204_v3	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	0.026088662
204_v3	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Clostridium	0
204_v3	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	0
